ECM File Output,,,,,
Filename (includes date): 2025-09-08-10-32-dic13-170.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 2breaks, crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 33.41241015624998,,,,,
Y Right: 106.94491406249993,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 178.7359375,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 188.7359375,,,,,
X max Position (raw - not laser corrected): 945.5078125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
49.412,48.75,0.0,2.5325149999999998e-08,--,na
49.412,49.0,0.0,2.60142e-08,--,na
49.412,49.25,0.0,2.47818e-08,--,na
49.412,49.5,0.0,2.49936e-08,--,na
49.412,49.75,0.0,2.55115e-08,--,na
49.412,50.0,0.0,2.45724e-08,--,na
49.412,50.25,0.0,2.31677e-08,--,na
49.412,50.5,0.0,2.44681e-08,--,na
49.412,50.75,0.0,2.44814e-08,--,na
49.412,51.0,0.0,2.42468e-08,--,na
49.412,51.25,0.0,2.480795e-08,--,na
49.412,51.5,0.0,2.37886e-08,--,na
49.412,51.75,0.0,2.38445e-08,--,na
49.412,52.0,0.0,2.4124e-08,--,na
49.412,52.25,0.0,2.45258e-08,--,na
49.412,52.5,0.0,2.30886e-08,--,na
49.412,52.75,0.0,2.43359e-08,--,na
49.412,53.0,0.0,2.51821e-08,--,na
49.412,53.25,0.0,2.47009e-08,--,na
49.412,53.5,0.0,2.39571e-08,--,na
49.412,53.75,0.0,2.39203e-08,--,na
49.412,54.0,0.0,2.46557e-08,--,na
49.412,54.25,0.0,2.4595e-08,--,na
49.412,54.5,0.0,2.5037150000000003e-08,--,na
49.412,54.75,0.0,2.41995e-08,--,na
49.412,55.0,0.0,2.56178e-08,--,na
49.412,55.25,0.0,2.449765e-08,--,na
49.412,55.5,0.0,2.52732e-08,--,na
49.412,55.75,0.0,2.55231e-08,--,na
49.412,56.0,0.0,2.51023e-08,--,na
49.412,56.25,0.0,2.587305e-08,--,na
49.412,56.5,0.0,2.64223e-08,--,na
49.412,56.75,0.0,2.593005e-08,--,na
49.412,57.0,0.0,2.61588e-08,--,na
49.412,57.25,0.0,2.6663e-08,--,na
