ECM File Output,,,,,
Filename (includes date): 2025-09-09-10-07-dic-161.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break, took the two good sections in middle for scan, left out junk above and below,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 28.034753906249986,,,,,
Y Right: 102.18092578124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 130.5625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 133.553125,,,,,
X max Position (raw - not laser corrected): 803.0359375,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
44.035,46.75,0.0,3.65169e-08,--,na
44.035,47.0,0.0,3.7431450000000004e-08,--,na
44.035,47.25,0.0,3.75634e-08,--,na
44.035,47.5,0.0,3.77225e-08,--,na
44.035,47.75,0.0,3.6662e-08,--,na
44.035,48.0,0.0,3.82994e-08,--,na
44.035,48.25,0.0,3.861625e-08,--,na
44.035,48.5,0.0,4.04731e-08,--,na
44.035,48.75,0.0,3.86199e-08,--,na
44.035,49.0,0.0,3.81202e-08,--,na
44.035,49.25,0.0,3.89654e-08,--,na
44.035,49.5,0.0,3.82568e-08,--,na
44.035,49.75,0.0,4.00557e-08,--,na
44.035,50.0,0.0,3.539405e-08,--,na
44.035,50.25,0.0,3.753235e-08,--,na
44.035,50.5,0.0,3.655755e-08,--,na
44.035,50.75,0.0,3.84144e-08,--,na
44.035,51.0,0.0,3.7575799999999994e-08,--,na
44.035,51.25,0.0,3.5413399999999996e-08,--,na
44.035,51.5,0.0,3.5739e-08,--,na
44.035,51.75,0.0,3.44485e-08,--,na
44.035,52.0,0.0,3.64069e-08,--,na
44.035,52.25,0.0,3.4740350000000004e-08,--,na
44.035,52.5,0.0,3.432685e-08,--,na
44.035,52.75,0.0,3.51216e-08,--,na
