ECM File Output,,,,,
Filename (includes date): 2025-09-08-15-31-den13a-175.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis, 6 breaks!!!!!,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 5,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.887792968749984,,,,,
Y Right: 102.02862499999995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 19.3265625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 19.3265625,,,,,
X max Position (raw - not laser corrected): 922.0812500000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.888,40.5,0.0,4.3726e-09,--,na
50.888,40.75,0.0,6.2682e-09,--,na
50.888,41.0,0.0,6.22381e-09,--,na
50.888,41.25,0.0,5.680815e-09,--,na
50.888,41.5,0.0,5.2549400000000005e-09,--,na
50.888,41.75,0.0,6.3974e-09,--,na
50.888,42.0,0.0,4.028435e-09,--,na
50.888,42.25,0.0,4.92708e-09,--,na
50.888,42.5,0.0,5.7961249999999996e-09,--,na
50.888,42.75,0.0,5.35971e-09,--,na
50.888,43.0,0.0,5.3769749999999994e-09,--,na
50.888,43.25,0.0,5.447375e-09,--,na
50.888,43.5,0.0,5.393325e-09,--,na
50.888,43.75,0.0,5.33938e-09,--,na
50.888,44.0,0.0,5.258685e-09,--,na
50.888,44.25,0.0,5.30302e-09,--,na
50.888,44.5,0.0,5.007855e-09,--,na
50.888,44.75,0.0,5.387e-09,--,na
50.888,45.0,0.0,4.34184e-09,--,na
50.888,45.25,0.0,5.327595e-09,--,na
50.888,45.5,0.0,4.83625e-09,--,na
50.888,45.75,0.0,3.73033e-09,--,na
50.888,46.0,0.0,5.1621e-09,--,na
50.888,46.25,0.0,4.77583e-09,--,na
50.888,46.5,0.0,4.6762350000000004e-09,--,na
50.888,46.75,0.0,4.99242e-09,--,na
50.888,47.0,0.0,4.6697e-09,--,na
50.888,47.25,0.0,5.380895e-09,--,na
50.888,47.5,0.0,4.825780000000001e-09,--,na
50.888,47.75,0.0,3.92054e-09,--,na
50.888,48.0,0.0,4.29022e-09,--,na
50.888,48.25,0.0,4.80359e-09,--,na
50.888,48.5,0.0,5.149965e-09,--,na
50.888,48.75,0.0,4.68853e-09,--,na
50.888,49.0,0.0,3.797195e-09,--,na
50.888,49.25,0.0,4.5009e-09,--,na
50.888,49.5,0.0,4.235825e-09,--,na
50.888,49.75,0.0,4.59677e-09,--,na
50.888,50.0,0.0,4.784495e-09,--,na
50.888,50.25,0.0,5.3087e-09,--,na
50.888,50.5,0.0,4.09127e-09,--,na
50.888,50.75,0.0,4.66847e-09,--,na
50.888,51.0,0.0,5.40112e-09,--,na
50.888,51.25,0.0,5.0587600000000004e-09,--,na
