ECM File Output,,,,,
Filename (includes date): 2025-09-08-14-24-dic13a-177.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis alignment, 3 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 37.366277343749985,,,,,
Y Right: 113.18230078124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 29.103125000000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 36.30625,,,,,
X max Position (raw - not laser corrected): 898.6828125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
53.366,52.0,0.0,3.078255e-08,--,na
53.366,52.25,0.0,3.03537e-08,--,na
53.366,52.5,0.0,3.060805e-08,--,na
53.366,52.75,0.0,3.06033e-08,--,na
53.366,53.0,0.0,3.1222e-08,--,na
53.366,53.25,0.0,3.07939e-08,--,na
53.366,53.5,0.0,3.1115e-08,--,na
53.366,53.75,0.0,3.17684e-08,--,na
53.366,54.0,0.0,3.1234950000000005e-08,--,na
53.366,54.25,0.0,3.3181e-08,--,na
53.366,54.5,0.0,3.174895e-08,--,na
53.366,54.75,0.0,3.218135e-08,--,na
53.366,55.0,0.0,3.25662e-08,--,na
53.366,55.25,0.0,3.34768e-08,--,na
53.366,55.5,0.0,3.250175e-08,--,na
53.366,55.75,0.0,3.24629e-08,--,na
53.366,56.0,0.0,3.20703e-08,--,na
53.366,56.25,0.0,3.37412e-08,--,na
53.366,56.5,0.0,3.37111e-08,--,na
53.366,56.75,0.0,3.344145e-08,--,na
53.366,57.0,0.0,3.378145e-08,--,na
53.366,57.25,0.0,3.4913e-08,--,na
53.366,57.5,0.0,3.558165e-08,--,na
53.366,57.75,0.0,3.53931e-08,--,na
53.366,58.0,0.0,3.701485e-08,--,na
53.366,58.25,0.0,3.68619e-08,--,na
53.366,58.5,0.0,3.78645e-08,--,na
53.366,58.75,0.0,3.85866e-08,--,na
53.366,59.0,0.0,3.842215e-08,--,na
53.366,59.25,0.0,3.80675e-08,--,na
53.366,59.5,0.0,3.880435e-08,--,na
53.366,59.75,0.0,3.85119e-08,--,na
53.366,60.0,0.0,4.05359e-08,--,na
