ECM File Output,,,,,
Filename (includes date): 2025-09-08-08-19-dic13-174.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 3breaks, top 3cm broke off prescan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.162007812499986,,,,,
Y Right: 105.23587109374995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 77.415625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 84.415625,,,,,
X max Position (raw - not laser corrected): 959.4125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.162,75.25,0.0,5.0331249999999996e-08,--,na
50.162,75.5,0.0,4.9755e-08,--,na
50.162,75.75,0.0,4.914815e-08,--,na
50.162,76.0,0.0,4.95181e-08,--,na
50.162,76.25,0.0,4.82087e-08,--,na
50.162,76.5,0.0,4.8006100000000005e-08,--,na
50.162,76.75,0.0,4.791775e-08,--,na
50.162,77.0,0.0,4.64092e-08,--,na
50.162,77.25,0.0,4.7768550000000005e-08,--,na
50.162,77.5,0.0,4.72429e-08,--,na
50.162,77.75,0.0,4.733875e-08,--,na
50.162,78.0,0.0,4.68621e-08,--,na
50.162,78.25,0.0,4.6427750000000004e-08,--,na
50.162,78.5,0.0,4.61895e-08,--,na
50.162,78.75,0.0,4.6289899999999994e-08,--,na
50.162,79.0,0.0,4.566345e-08,--,na
50.162,79.25,0.0,4.61632e-08,--,na
50.162,79.5,0.0,4.519115e-08,--,na
50.162,79.75,0.0,4.521905e-08,--,na
50.162,80.0,0.0,4.70767e-08,--,na
50.162,80.25,0.0,4.504115e-08,--,na
50.162,80.5,0.0,4.476825e-08,--,na
50.162,80.75,0.0,4.43952e-08,--,na
50.162,81.0,0.0,4.48767e-08,--,na
50.162,81.25,0.0,4.019475e-08,--,na
50.162,81.5,0.0,4.3497e-08,--,na
50.162,81.75,0.0,4.45083e-08,--,na
50.162,82.0,0.0,4.30536e-08,--,na
50.162,82.25,0.0,4.236305e-08,--,na
50.162,82.5,0.0,4.38281e-08,--,na
50.162,82.75,0.0,4.35894e-08,--,na
50.162,83.0,0.0,4.28339e-08,--,na
50.162,83.25,0.0,4.299935e-08,--,na
50.162,83.5,0.0,4.181625e-08,--,na
50.162,83.75,0.0,4.2860650000000003e-08,--,na
50.162,84.0,0.0,4.20061e-08,--,na
50.162,84.25,0.0,4.2619700000000004e-08,--,na
50.162,84.5,0.0,4.26348e-08,--,na
50.162,84.75,0.0,4.255875e-08,--,na
50.162,85.0,0.0,4.23161e-08,--,na
50.162,85.25,0.0,4.28838e-08,--,na
50.162,85.5,0.0,4.10751e-08,--,na
50.162,85.75,0.0,4.2136800000000004e-08,--,na
50.162,86.0,0.0,4.4553e-08,--,na
50.162,86.25,0.0,4.200495e-08,--,na
50.162,86.5,0.0,4.16303e-08,--,na
50.162,86.75,0.0,4.17968e-08,--,na
50.162,87.0,0.0,4.23037e-08,--,na
50.162,87.25,0.0,4.383845e-08,--,na
50.162,87.5,0.0,4.05293e-08,--,na
50.162,87.75,0.0,4.2812450000000004e-08,--,na
50.162,88.0,0.0,4.37378e-08,--,na
50.162,88.25,0.0,4.362965e-08,--,na
50.162,88.5,0.0,4.166225e-08,--,na
50.162,88.75,0.0,4.18311e-08,--,na
50.162,89.0,0.0,4.07057e-08,--,na
50.162,89.25,0.0,4.05455e-08,--,na
50.162,89.5,0.0,4.043885e-08,--,na
50.162,89.75,0.0,4.05956e-08,--,na
50.162,90.0,0.0,4.10321e-08,--,na
50.162,90.25,0.0,4.240725e-08,--,na
50.162,90.5,0.0,4.29039e-08,--,na
50.162,90.75,0.0,4.093535e-08,--,na
50.162,91.0,0.0,4.12127e-08,--,na
50.162,91.25,0.0,4.050045e-08,--,na
50.162,91.5,0.0,4.065355e-08,--,na
50.162,91.75,0.0,3.92029e-08,--,na
50.162,92.0,0.0,3.9881699999999996e-08,--,na
50.162,92.25,0.0,4.0234e-08,--,na
50.162,92.5,0.0,3.98112e-08,--,na
50.162,92.75,0.0,4.06882e-08,--,na
50.162,93.0,0.0,3.92918e-08,--,na
50.162,93.25,0.0,4.015525e-08,--,na
50.162,93.5,0.0,3.96842e-08,--,na
50.162,93.75,0.0,3.9683e-08,--,na
50.162,94.0,0.0,4.00459e-08,--,na
50.162,94.25,0.0,3.951715e-08,--,na
50.162,94.5,0.0,4.039615e-08,--,na
50.162,94.75,0.0,3.82365e-08,--,na
50.162,95.0,0.0,4.03259e-08,--,na
50.162,95.25,0.0,3.9177e-08,--,na
50.162,95.5,0.0,3.9087e-08,--,na
50.162,95.75,0.0,3.82537e-08,--,na
50.162,96.0,0.0,3.94271e-08,--,na
50.162,96.25,0.0,3.9035449999999996e-08,--,na
50.162,96.5,0.0,3.85806e-08,--,na
50.162,96.75,0.0,3.80363e-08,--,na
50.162,97.0,0.0,3.8177e-08,--,na
50.162,97.25,0.0,3.8588300000000004e-08,--,na
50.162,97.5,0.0,3.84272e-08,--,na
50.162,97.75,0.0,3.865025e-08,--,na
50.162,98.0,0.0,3.81734e-08,--,na
50.162,98.25,0.0,3.83521e-08,--,na
50.162,98.5,0.0,3.8499200000000004e-08,--,na
50.162,98.75,0.0,3.84973e-08,--,na
50.162,99.0,0.0,3.762325e-08,--,na
50.162,99.25,0.0,3.75719e-08,--,na
50.162,99.5,0.0,3.78341e-08,--,na
50.162,99.75,0.0,3.734405e-08,--,na
50.162,100.0,0.0,3.693905e-08,--,na
50.162,100.25,0.0,3.74286e-08,--,na
50.162,100.5,0.0,3.842775e-08,--,na
50.162,100.75,0.0,3.69205e-08,--,na
50.162,101.0,0.0,3.69301e-08,--,na
50.162,101.25,0.0,3.70067e-08,--,na
50.162,101.5,0.0,3.65514e-08,--,na
50.162,101.75,0.0,3.65248e-08,--,na
50.162,102.0,0.0,3.614725e-08,--,na
50.162,102.25,0.0,3.62314e-08,--,na
50.162,102.5,0.0,3.70402e-08,--,na
50.162,102.75,0.0,3.639635e-08,--,na
50.162,103.0,0.0,3.62525e-08,--,na
50.162,103.25,0.0,3.68867e-08,--,na
50.162,103.5,0.0,3.6321600000000004e-08,--,na
50.162,103.75,0.0,3.77279e-08,--,na
50.162,104.0,0.0,3.6565250000000004e-08,--,na
50.162,104.25,0.0,3.593815e-08,--,na
50.162,104.5,0.0,3.624645e-08,--,na
50.162,104.75,0.0,3.59318e-08,--,na
50.162,105.0,0.0,3.58758e-08,--,na
50.162,105.25,0.0,3.7740850000000005e-08,--,na
50.162,105.5,0.0,3.6185e-08,--,na
50.162,105.75,0.0,3.584525e-08,--,na
50.162,106.0,0.0,3.653925e-08,--,na
50.162,106.25,0.0,3.62507e-08,--,na
50.162,106.5,0.0,3.5108e-08,--,na
50.162,106.75,0.0,3.61241e-08,--,na
50.162,107.0,0.0,3.67207e-08,--,na
50.162,107.25,0.0,3.65625e-08,--,na
50.162,107.5,0.0,3.6551550000000004e-08,--,na
50.162,107.75,0.0,3.63965e-08,--,na
50.162,108.0,0.0,3.653705e-08,--,na
50.162,108.25,0.0,3.53821e-08,--,na
50.162,108.5,0.0,3.51228e-08,--,na
50.162,108.75,0.0,3.6926499999999997e-08,--,na
50.162,109.0,0.0,3.91595e-08,--,na
50.162,109.25,0.0,3.72616e-08,--,na
50.162,109.5,0.0,3.74305e-08,--,na
50.162,109.75,0.0,3.64171e-08,--,na
50.162,110.0,0.0,3.689355e-08,--,na
50.162,110.25,0.0,3.7269e-08,--,na
50.162,110.5,0.0,3.62861e-08,--,na
50.162,110.75,0.0,3.741225e-08,--,na
50.162,111.0,0.0,3.72577e-08,--,na
50.162,111.25,0.0,3.712255e-08,--,na
50.162,111.5,0.0,3.80485e-08,--,na
50.162,111.75,0.0,3.73878e-08,--,na
50.162,112.0,0.0,3.91194e-08,--,na
50.162,112.25,0.0,3.78663e-08,--,na
50.162,112.5,0.0,3.72478e-08,--,na
50.162,112.75,0.0,3.75999e-08,--,na
50.162,113.0,0.0,3.751105e-08,--,na
50.162,113.25,0.0,3.7910450000000004e-08,--,na
50.162,113.5,0.0,3.7401e-08,--,na
50.162,113.75,0.0,3.75309e-08,--,na
