,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header,filename
68,dic1,2025-09-11-13-05,185,t,AC,10,25,1000,re-planed,0.25,5,305,-10,36.29917968749998,104.19258593749994,16,12,116.2703125,0.0,0.0,0.0,171.485,118.621875,1046.421875,22,../../data/raw_data/2025-09-11-13-05-dic1-185-t.txt
64,dic1,2025-09-11-10-33,185,t,DC,10,25,1000,4breaks,0.25,7,305,-10,31.60563671874998,103.79719921874994,16,12,78.0484375,0.0,0.0,0.0,171.485,80.84687500000001,1011.4359375,22,../../data/raw_data/2025-09-11-10-33-dic1-185-t.txt
69,dic1,2025-09-11-13-16,185,t,DC,10,25,1000,re-planed,0.25,6,305,-10,36.29917968749998,104.19258593749994,16,12,116.2703125,0.0,0.0,0.0,171.485,118.621875,1046.421875,22,../../data/raw_data/2025-09-11-13-16-dic1-185-t.txt
70,dic1,2025-09-11-13-37,186,t,AC,10,25,1000,3 breaks,0.25,6,305,-10,30.825281249999986,100.15735937499996,16,12,114.96718750000001,0.0,0.0,0.0,172.419,118.934375,1022.2328125,22,../../data/raw_data/2025-09-11-13-37-dic1-186-t.txt
71,dic1,2025-09-11-13-50,186,t,DC,10,25,1000,3 breaks,0.25,6,305,-10,30.825281249999986,100.15735937499996,16,12,114.96718750000001,0.0,0.0,0.0,172.419,118.934375,1022.2328125,22,../../data/raw_data/2025-09-11-13-50-dic1-186-t.txt
82,dic1,2025-09-12-09-45,187a,t,AC,10,25,1000,,0.25,6,305,-10,26.108421874999987,97.83316015624995,16,12,312.61093750000003,0.0,0.0,0.0,173.385,323.046875,742.0343750000001,22,../../data/raw_data/2025-09-12-09-45-dic1-187a-t.txt
83,dic1,2025-09-12-09-54,187a,t,DC,10,25,1000,,0.25,6,305,-10,26.108421874999987,97.83316015624995,16,12,312.61093750000003,0.0,0.0,0.0,173.385,323.046875,742.0343750000001,22,../../data/raw_data/2025-09-12-09-54-dic1-187a-t.txt
84,dic1,2025-09-12-10-10,187b,t,AC,10,25,1000,no breaks,0.25,6,305,-10,32.762031249999986,101.58809374999994,16,12,436.09062500000005,0.0,0.0,0.0,173.8,438.72812500000003,676.6265625000001,22,../../data/raw_data/2025-09-12-10-10-dic1-187b-t.txt
85,dic1,2025-09-12-10-17,187b,t,DC,10,25,1000,no breaks,0.25,6,305,-10,32.762031249999986,101.58809374999994,16,12,436.09062500000005,0.0,0.0,0.0,173.8,438.72812500000003,676.6265625000001,22,../../data/raw_data/2025-09-12-10-17-dic1-187b-t.txt
86,dic1,2025-09-12-10-24,188a,t,AC,10,25,1000,no breaks,0.25,6,305,-10,31.51584374999998,104.75813281249995,16,12,324.54843750000003,0.0,0.0,0.0,174.055,341.69687500000003,809.5125,22,../../data/raw_data/2025-09-12-10-24-dic1-188a-t.txt
87,dic1,2025-09-12-10-35,188a,t,DC,10,25,1000,no breaks,0.25,7,305,-10,31.51584374999998,104.75813281249995,16,12,324.54843750000003,0.0,0.0,0.0,174.055,341.69687500000003,809.5125,22,../../data/raw_data/2025-09-12-10-35-dic1-188a-t.txt
94,dic1,2025-09-12-12-29,188b,t,AC,10,25,1000,1break,0.25,5,305,-10,37.00164843749998,102.30693359374995,16,12,306.746875,0.0,0.0,0.0,174.545,313.74687500000005,747.9406250000001,22,../../data/raw_data/2025-09-12-12-29-dic1-188b-t.txt
95,dic1,2025-09-12-12-37,188b,t,DC,10,25,1000,1break,0.25,6,305,-10,37.00164843749998,102.30693359374995,16,12,306.746875,0.0,0.0,0.0,174.545,313.74687500000005,747.9406250000001,22,../../data/raw_data/2025-09-12-12-37-dic1-188b-t.txt
72,dic1,2025-09-11-14-05,189,t,AC,10,25,1000,dic-189,0.25,6,305,-10,35.50146093749998,109.16741406249994,16,12,119.64375000000001,0.0,0.0,0.0,174.985,130.675,1058.73125,22,../../data/raw_data/2025-09-11-14-05-dic1-189-t.txt
73,dic1,2025-09-11-14-20,189,t,DC,10,25,1000,dic-189,0.25,7,305,-10,35.50146093749998,109.16741406249994,16,12,119.64375000000001,0.0,0.0,0.0,174.985,130.675,1058.73125,22,../../data/raw_data/2025-09-11-14-20-dic1-189-t.txt
80,dic1,2025-09-12-09-33,190,t,AC,10,25,1000,no breaks,0.25,6,305,-10,35.38140624999998,103.42264843749994,16,12,321.175,0.0,0.0,0.0,175.922,329.64375,462.16093750000005,22,../../data/raw_data/2025-09-12-09-33-dic1-190-t.txt
81,dic1,2025-09-12-09-39,190,t,DC,10,25,1000,no breaks,0.25,6,305,-10,35.38140624999998,103.42264843749994,16,12,321.175,0.0,0.0,0.0,175.922,329.64375,462.16093750000005,22,../../data/raw_data/2025-09-12-09-39-dic1-190-t.txt
88,dic1,2025-09-12-11-06,191,t,AC,10,25,1000,no breaks,0.25,6,305,-10,25.386605468749988,98.03606249999996,16,12,80.80625,0.0,0.0,0.0,176.133,90.796875,984.19375,22,../../data/raw_data/2025-09-12-11-06-dic1-191-t.txt
89,dic1,2025-09-12-11-20,191,t,DC,10,25,1000,no breaks,0.25,7,305,-10,25.386605468749988,98.03606249999996,16,12,80.80625,0.0,0.0,0.0,176.133,90.796875,984.19375,22,../../data/raw_data/2025-09-12-11-20-dic1-191-t.txt
61,dic1,2025-09-10-11-08,194,t,AC,10,25,1000,just the bottom slab,0.25,6,305,-10,29.633167968749984,98.44583593749995,16,12,73.90468750000001,0.0,0.0,0.0,178.933,81.40156250000001,658.94375,22,../../data/raw_data/2025-09-10-11-08-dic1-194-t.txt
